Rank,Player,Club,Nationality,Stat
1,Andrew Robertson,Liverpool, Scotland,"3,683"
2,Trent Alexander-Arnold,Liverpool, England,"3,416"
3,Luke Ayling,Leeds United, England,"3,352"
4,Pierre-Emile Højbjerg,Tottenham Hotspur, Denmark,"3,259"
5,Rodri,Manchester City, Spain,"3,191"
6,Youri Tielemans,Leicester City, Belgium,"3,151"
7,James Ward-Prowse,Southampton, England,"3,146"
8,Rúben Dias,Manchester City, Portugal,"2,988"
9,Bruno Fernandes,Manchester United, Portugal,"2,849"
10,Stuart Dallas,Leeds United, Northern Ireland,"2,730"
